id,matchPeriod,minute,second,type.primary,type.secondary,team.name,player.name,location.x,location.y,pass.endLocation.x,pass.endLocation.y,pass.recipient.name,pass.accurate,shot.xg,shot.isGoal,shot.onTarget
100456,1H,1,2,pass,short_or_medium_pass,Melbourne Victory,Bacus,62.1,48.7,19.5,86.8,Neyder,True,,,
100195,1H,1,3,pass,short_or_medium_pass,Sydney FC,Lolley,62.9,22.1,77.2,19.5,Segecic,True,,,
100117,1H,1,9,pass,short_or_medium_pass,Sydney FC,Burgess,26.7,52.8,27.6,90.3,Girdwood-Reich,True,,,
100253,1H,1,24,pass,short_or_medium_pass,Sydney FC,Segecic,74.4,29.4,66.4,85.3,Brattan,True,,,
100506,1H,1,59,pass,progressive_pass,Melbourne Victory,Bacus,56.1,61.2,79.0,46.9,Arslan,True,,,
100839,1H,1,59,touch,,Melbourne Victory,Kalifa,18.4,53.0,,,,,,,
100542,1H,2,9,touch,,Sydney FC,Segecic,51.0,24.7,,,,,,,
100596,1H,2,11,touch,,Sydney FC,Redmayne,41.1,87.5,,,,,,,
100284,1H,2,13,pass,progressive_pass,Sydney FC,Rodwell,23.4,45.5,50.1,31.6,Teague,True,,,
100737,1H,2,15,touch,,Melbourne Victory,Bacus,56.1,83.3,,,,,,,
100544,1H,2,24,touch,,Sydney FC,Segecic,86.4,32.0,,,,,,,
100493,1H,2,26,pass,short_or_medium_pass,Melbourne Victory,Chiba,80.6,42.8,64.3,57.1,Bacus,True,,,
100637,1H,2,42,touch,,Sydney FC,Caceres,69.3,16.5,,,,,,,
100082,1H,2,43,pass,short_or_medium_pass,Sydney FC,Rodwell,15.1,40.4,47.7,10.3,Grant,True,,,
100889,1H,2,43,touch,,Melbourne Victory,Izzo,60.9,31.1,,,,,,,
100279,1H,2,46,pass,short_or_medium_pass,Sydney FC,Brattan,67.7,92.8,79.3,48.6,Teague,True,,,
100426,1H,2,47,pass,short_or_medium_pass,Melbourne Victory,Brimmer,40.2,74.7,14.9,93.2,Neyder,True,,,
100216,1H,2,51,pass,short_or_medium_pass,Sydney FC,Kucharski,56.5,78.7,43.3,53.1,Caceres,True,,,
100367,1H,2,54,pass,short_or_medium_pass,Melbourne Victory,Roderick,13.5,57.8,16.7,50.4,Izzo,True,,,
100353,1H,2,55,pass,short_or_medium_pass,Melbourne Victory,Geria,25.1,31.0,1.0,52.5,Izzo,True,,,
100464,1H,2,58,pass,short_or_medium_pass,Melbourne Victory,Bacus,54.4,49.3,33.5,52.7,Brimmer,True,,,
100432,1H,3,5,pass,short_or_medium_pass,Melbourne Victory,Brimmer,27.8,54.3,41.4,47.1,Arslan,True,,,
100095,1H,3,14,pass,short_or_medium_pass,Sydney FC,Rodwell,13.0,40.7,41.3,52.1,Caceres,True,,,
100849,1H,3,19,touch,,Melbourne Victory,Vidosic,22.9,99.0,,,,,,,
